County,ZipCode,Child Well Being Index,"High School, College & Career Readiness",High School Graduation Rate,Students Exceeding 3rd Grade Reading Level,Students Exceeding 8th Grade Math Level,Chilren Without Health Insurance,Low Birth Weights,Children in Poverty,Families Not Financially Stable,Families w/ Housing Cost Burden,Births to Moms w/o High School Diploma,Parents Enrolled in Post Secondary Education,Adults w/o High School Diploma,Adults w/o Health Insurance,Unemployment Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobb,30064,78.2,80.6,81.7,50.6,41.1,3.9,7.8,12.0,14.8,28.8,6.9,82.1,6.6,14.4,9.5,1922,1562,1839,524,352,197,6.1,15.8,4.8,6.4,11.5,26.6,2.6,29.3,3.7,3353,8062,2485,3552,6225,13900,1569,15469,1983,66.4,26.4,2.9,2.1,2.1,9.0,547459,588107,451316,14617,7422,4941,1997,87.4,6.1,2.9,3.5,0.1,12121,3052,81.3,18.7,32.2,89.9,53055,15469,70.9,80.1,78.3,Q5: V.High Perf
Cobb,30066,82.5,81.1,83.1,68.7,47.5,9.2,6.7,6.6,14.0,27.0,6.3,85.3,5.5,14.7,7.9,1022,1436,1106,270,474,334,5.6,14.0,4.4,7.3,13.1,23.9,2.9,26.8,4.4,3724,8855,2909,4636,8706,15488,1613,17101,3023,80.4,10.3,4.7,2.6,1.9,7.2,1038267,1041715,908979,17716,8592,6773,1331,88.6,6.0,3.1,2.1,0.2,14820,4537,82.6,17.4,41.1,88.1,64357,17101,76.7,82.0,82.6,Q4: High Perf
Cobb,30067,56.9,73.0,73.3,44.5,30.6,18.8,9.2,31.7,36.5,39.8,12.1,79.4,9.8,30.8,11.2,2516,3751,3716,980,1515,785,8.5,13.2,2.8,10.8,9.0,24.6,0.4,24.9,10.5,4115,6425,1378,5164,4348,11917,174,12091,4991,50.1,31.2,7.5,8.1,2.8,14.9,585333,630383,445088,12638,6787,3625,2467,72.8,12.5,7.0,6.2,1.4,6143,2378,37.6,62.4,39.3,87.4,49279,12091,47.7,60.5,64.0,Q4: High Perf
Cobb,30068,92.5,86.5,88.9,79.7,65.5,4.5,9.0,3.8,10.4,28.6,0.0,91.4,1.9,5.5,6.0,160,150,206,36,56,133,6.1,14.5,5.9,5.6,15.7,26.4,1.6,28.0,4.0,1162,2937,1146,1098,3143,5245,259,5504,839,86.3,4.0,7.5,0.9,1.3,2.7,478173,482191,343153,5899,2913,2555,306,90.5,3.2,3.5,2.4,0.4,4909,1748,90.2,9.9,52.6,89.6,19651,5504,86.7,86.5,95.8,Q5: V.High Perf
Cobb,30075,94.8,91.2,90.0,82.0,69.2,6.0,12.8,1.5,4.7,22.5,1.8,92.1,2.4,6.8,3.2,0,0,16,0,0,13,3.9,17.4,5.9,4.4,10.7,27.2,3.2,30.4,1.2,184,822,279,208,506,1285,152,1437,56,85.9,2.7,6.1,4.0,1.3,5.3,113838,117083,108594,1479,736,572,61,93.1,3.4,3.5,0.0,0.0,1215,290,94.5,5.5,58.0,82.1,4726,1437,84.3,91.8,98.2,Q5: V.High Perf
Cobb,30080,55.6,64.1,65.6,42.7,23.2,11.3,8.5,27.9,33.9,37.0,12.7,69.8,11.4,26.8,9.9,4693,5150,5295,2018,1786,1187,8.5,12.5,2.2,8.7,8.1,23.3,1.0,24.2,7.7,6267,9477,1663,6191,5984,17406,734,18140,5457,52.2,31.3,6.5,7.5,2.4,18.1,892970,985945,672336,18957,10010,5668,3530,73.4,13.2,6.4,5.4,1.6,12730,3215,47.6,52.4,46.7,87.3,74108,18140,44.9,63.1,60.0,Q1: V.Low Perf
Cobb,30082,77.7,63.6,65.1,62.4,23.3,16.4,5.8,18.3,10.6,16.3,5.5,69.4,2.6,7.9,4.6,226,187,234,129,67,78,8.5,12.1,2.6,2.3,15.0,23.2,-0.4,22.8,2.7,411,585,126,111,725,1122,-19,1103,130,73.8,13.7,3.1,8.5,1.0,12.0,107813,99750,80893,1258,556,459,82,86.9,7.5,3.4,1.7,0.5,1239,476,90.7,9.3,56.6,93.9,4835,1103,52.0,91.5,81.2,Q4: High Perf
Cobb,30101,80.8,83.5,88.8,64.9,47.2,4.3,8.2,8.3,17.8,31.3,6.1,85.7,8.1,13.8,8.5,1293,1670,1532,207,305,271,5.0,16.3,5.2,8.4,9.2,26.6,5.6,32.2,2.7,2806,9562,3269,5064,5446,15638,3351,18989,1712,74.5,16.6,3.6,2.7,1.8,7.4,795290,806490,664367,16356,8492,6744,1261,88.7,5.7,3.4,1.9,0.2,14136,2935,82.8,17.2,34.1,88.9,58976,18989,78.8,77.7,80.9,Q4: High Perf
Cobb,30106,46.9,62.3,63.6,33.9,20.7,16.8,10.1,30.6,37.6,42.1,15.6,71.0,14.7,29.7,14.0,2384,3384,4279,639,1053,498,6.5,15.8,5.2,7.8,9.2,27.4,3.4,30.8,4.4,2840,7199,2296,3512,4150,12334,1455,13789,2057,40.8,51.9,1.2,4.1,1.9,14.5,338744,355152,338682,11321,6731,3562,2628,78.2,13.2,5.1,3.2,0.3,7789,1856,58.6,41.4,48.4,91.9,44716,13789,35.6,56.2,52.7,Q3: Aver Perf
Cobb,30126,54.1,63.9,63.4,32.5,17.5,12.0,9.1,24.7,31.3,34.6,16.3,72.0,13.6,26.2,10.3,2547,3128,4021,843,1041,699,9.2,14.6,4.0,7.9,8.1,27.8,2.3,30.0,5.6,4923,7558,2022,4011,3803,14503,1072,15575,2938,45.2,46.9,1.7,3.9,2.3,16.1,451657,459736,439519,14009,8290,4679,2951,83.4,8.9,5.3,1.9,0.6,11417,2722,72.1,27.9,56.0,88.9,51117,15575,40.3,63.5,59.7,Q4: High Perf
